,Contract Name,Last Day Traded,Strike,Last Price,Bid,Ask,Change,Percent Change,Volume,Open Interest,Implied Volatility,Price of Underlying,Date,Maturity Date,Option Type
361,AAPL180601P00157500,2018-04-26 2:43PM EDT,157.50,3.35,0.00,0.00,0.00,-,218,791,3.13%,164.22,"Apr 26, 2018","Jun 01, 2018",Put
362,AAPL180601P00160000,2018-04-26 2:48PM EDT,160.00,4.12,0.00,0.00,0.00,-,24,309,1.56%,164.22,"Apr 26, 2018","Jun 01, 2018",Put
363,AAPL180601P00162500,2018-04-26 2:48PM EDT,162.50,5.12,0.00,0.00,0.00,-,29,539,0.78%,164.22,"Apr 26, 2018","Jun 01, 2018",Put
364,AAPL180601P00165000,2018-04-26 3:29PM EDT,165.00,6.48,0.00,0.00,0.00,-,18,288,0.00%,164.22,"Apr 26, 2018","Jun 01, 2018",Put
365,AAPL180601P00167500,2018-04-24 2:31PM EDT,167.50,9.35,0.00,0.00,0.00,-,37,0,0.00%,164.22,"Apr 26, 2018","Jun 01, 2018",Put
366,AAPL180601P00170000,2018-04-26 3:29PM EDT,170.00,9.43,0.00,0.00,0.00,-,12,133,0.00%,164.22,"Apr 26, 2018","Jun 01, 2018",Put
367,AAPL180601P00172500,2018-04-24 2:48PM EDT,172.50,12.48,0.00,0.00,0.00,-,47,0,0.00%,164.22,"Apr 26, 2018","Jun 01, 2018",Put
368,AAPL180601P00175000,2018-04-26 3:08PM EDT,175.00,13.20,0.00,0.00,0.00,-,10,102,0.00%,164.22,"Apr 26, 2018","Jun 01, 2018",Put
369,AAPL180601P00177500,2018-04-26 3:05PM EDT,177.50,14.90,0.00,0.00,0.00,-,10,367,0.00%,164.22,"Apr 26, 2018","Jun 01, 2018",Put
370,AAPL180601P00180000,2018-04-24 12:18PM EDT,180.00,17.69,0.00,0.00,0.00,-,1,55,0.00%,164.22,"Apr 26, 2018","Jun 01, 2018",Put
371,AAPL180601P00182500,2018-04-24 9:31AM EDT,182.50,17.75,0.00,0.00,0.00,-,10,15,0.00%,164.22,"Apr 26, 2018","Jun 01, 2018",Put
372,AAPL180601P00185000,2018-04-26 2:42PM EDT,185.00,22.00,0.00,0.00,0.00,-,2,2,0.00%,164.22,"Apr 26, 2018","Jun 01, 2018",Put
373,AAPL180601P00190000,2018-04-17 2:17PM EDT,190.00,13.19,22.70,27.00,0.00,-,2,73,38.87%,164.22,"Apr 26, 2018","Jun 01, 2018",Put
374,AAPL180608C00165000,2018-04-27 6:56AM EDT,165.00,5.53,0.00,0.00,0.00,-,13,13,0.39%,164.22,"Apr 26, 2018","Jun 08, 2018",Call
375,AAPL180608C00167500,2018-04-27 6:56AM EDT,167.50,4.39,0.00,0.00,0.00,-,25,15,1.56%,164.22,"Apr 26, 2018","Jun 08, 2018",Call
376,AAPL180608C00170000,2018-04-27 6:56AM EDT,170.00,3.34,0.00,0.00,0.00,-,4,4,3.13%,164.22,"Apr 26, 2018","Jun 08, 2018",Call
377,AAPL180608C00172500,2018-04-27 6:56AM EDT,172.50,2.60,0.00,0.00,0.00,-,8,6,3.13%,164.22,"Apr 26, 2018","Jun 08, 2018",Call
378,AAPL180608C00175000,2018-04-27 6:56AM EDT,175.00,1.93,0.00,0.00,0.00,-,7,6,3.13%,164.22,"Apr 26, 2018","Jun 08, 2018",Call
379,AAPL180608C00177500,2018-04-27 6:56AM EDT,177.50,1.33,0.00,0.00,0.00,-,20,17,6.25%,164.22,"Apr 26, 2018","Jun 08, 2018",Call
380,AAPL180608C00182500,2018-04-27 6:56AM EDT,182.50,0.70,0.00,0.00,0.00,-,5,5,6.25%,164.22,"Apr 26, 2018","Jun 08, 2018",Call
381,AAPL180608C00185000,2018-04-27 6:56AM EDT,185.00,0.48,0.00,0.00,0.00,-,27,26,6.25%,164.22,"Apr 26, 2018","Jun 08, 2018",Call
382,AAPL180615C00070000,2018-02-08 3:45PM EDT,70.00,88.55,93.20,97.80,0.00,-,10,11,143.65%,164.22,"Apr 26, 2018","Jun 15, 2018",Call
383,AAPL180615C00075000,2018-02-08 3:46PM EDT,75.00,84.04,88.30,92.75,0.00,-,20,2,133.86%,164.22,"Apr 26, 2018","Jun 15, 2018",Call
384,AAPL180615C00085000,2018-02-23 4:40PM EDT,85.00,91.00,78.10,82.80,0.00,-,1,10,113.57%,164.22,"Apr 26, 2018","Jun 15, 2018",Call
385,AAPL180615C00090000,2018-04-26 2:53PM EDT,90.00,74.05,0.00,0.00,0.00,-,18,159,0.00%,164.22,"Apr 26, 2018","Jun 15, 2018",Call
386,AAPL180615C00095000,2018-04-19 3:56PM EDT,95.00,78.18,69.00,73.05,0.00,-,1,26,106.18%,164.22,"Apr 26, 2018","Jun 15, 2018",Call
387,AAPL180615C00100000,2018-04-26 2:44PM EDT,100.00,64.20,0.00,0.00,0.00,-,1,"1,333",0.00%,164.22,"Apr 26, 2018","Jun 15, 2018",Call
388,AAPL180615C00110000,2018-04-26 1:52PM EDT,110.00,54.31,0.00,0.00,0.00,-,7,386,0.00%,164.22,"Apr 26, 2018","Jun 15, 2018",Call
389,AAPL180615C00115000,2018-04-02 3:33PM EDT,115.00,51.20,55.75,58.45,0.00,-,4,999,124.66%,164.22,"Apr 26, 2018","Jun 15, 2018",Call
390,AAPL180615C00120000,2018-04-26 1:08PM EDT,120.00,44.49,0.00,0.00,0.00,-,3,"2,153",0.00%,164.22,"Apr 26, 2018","Jun 15, 2018",Call
391,AAPL180615C00125000,2018-04-26 3:20PM EDT,125.00,39.20,0.00,0.00,0.00,-,55,"2,439",0.00%,164.22,"Apr 26, 2018","Jun 15, 2018",Call
392,AAPL180615C00130000,2018-04-25 3:18PM EDT,130.00,35.00,0.00,0.00,0.00,-,25,"2,502",0.00%,164.22,"Apr 26, 2018","Jun 15, 2018",Call
393,AAPL180615C00135000,2018-04-26 3:45PM EDT,135.00,29.65,0.00,0.00,0.00,-,20,"2,305",0.00%,164.22,"Apr 26, 2018","Jun 15, 2018",Call
